nodeName	altName	nodeAttr[nodesPresent, ]
REV3L	NA	orangered4
ZFYVE16	NA	orangered4
QSER1	NA	orangered4
ROCK1	NA	orangered4
FRYL	NA	orangered4
CRYBG3	NA	orangered4
SMCHD1	NA	orangered4
PHACTR2	NA	orangered4
ALMS1	NA	orangered4
CASP8AP2	NA	orangered4
PIK3CA	NA	orangered4
VPS13C	NA	orangered4
MIS18BP1	NA	orangered4
ROCK2	NA	orangered4
KIAA1033	NA	orangered4
KIAA1109	NA	orangered4
LYST	NA	orangered4
SHPRH	NA	orangered4
ATM	NA	orangered4
FER	NA	orangered4
UTRN	NA	orangered4
RAPGEF6	NA	orangered4
DMXL1	NA	orangered4
RPS6KA3	NA	orangered4
CHD9	NA	orangered4
C5orf42	NA	orangered4
RP3-468K18.5	NA	orangered4
ZBED6	NA	orangered4
CTC-432M15.3	NA	orangered4
