nodeName	altName	nodeAttr[nodesPresent, ]
M6PR	NA	turquoise
TFPI	NA	turquoise
SLC7A2	NA	turquoise
ARHGAP33	NA	turquoise
FBXL3	NA	turquoise
LAMP2	NA	turquoise
OSBPL7	NA	turquoise
MYLIP	NA	turquoise
CRY1	NA	turquoise
PKD1	NA	turquoise
SEC62	NA	turquoise
CSDE1	NA	turquoise
UBE3C	NA	turquoise
VTA1	NA	turquoise
BAZ1B	NA	turquoise
IFFO1	NA	turquoise
NISCH	NA	turquoise
UTP18	NA	turquoise
MBTPS2	NA	turquoise
UFL1	NA	turquoise
NDUFS1	NA	turquoise
ERP44	NA	turquoise
SEC63	NA	turquoise
KPNA6	NA	turquoise
IFNGR1	NA	turquoise
SLC39A9	NA	turquoise
FUT8	NA	turquoise
GAB2	NA	turquoise
PEX3	NA	turquoise
CUL3	NA	turquoise
PARP3	NA	turquoise
CTNNA1	NA	turquoise
DSG2	NA	turquoise
POLR2B	NA	turquoise
MCUR1	NA	turquoise
SYNE2	NA	turquoise
TAB2	NA	turquoise
KMT2C	NA	turquoise
ZFR	NA	turquoise
MXD1	NA	turquoise
HDAC7	NA	turquoise
NCKAP1	NA	turquoise
LTK	NA	turquoise
WAPAL	NA	turquoise
APPBP2	NA	turquoise
TMEM161A	NA	turquoise
TRAM2	NA	turquoise
MYLK	NA	turquoise
ZC3H15	NA	turquoise
DIP2B	NA	turquoise
GOLGA5	NA	turquoise
ZFAT	NA	turquoise
MTFR1	NA	turquoise
CACNB1	NA	turquoise
DHX29	NA	turquoise
IARS2	NA	turquoise
ACSL4	NA	turquoise
LAPTM4A	NA	turquoise
KIF2A	NA	turquoise
RASGRP2	NA	turquoise
ERLEC1	NA	turquoise
TGFBR3	NA	turquoise
MAPK6	NA	turquoise
NUCB2	NA	turquoise
SLC44A1	NA	turquoise
CDC42	NA	turquoise
SEL1L	NA	turquoise
TCF3	NA	turquoise
PTPN18	NA	turquoise
SPEG	NA	turquoise
MPP5	NA	turquoise
FBXW11	NA	turquoise
PPP2R3A	NA	turquoise
PICALM	NA	turquoise
TSG101	NA	turquoise
BCS1L	NA	turquoise
LMAN1	NA	turquoise
RASAL2	NA	turquoise
FNDC3B	NA	turquoise
TMEM131	NA	turquoise
RBM7	NA	turquoise
RGS11	NA	turquoise
TPD52	NA	turquoise
ARHGEF1	NA	turquoise
TOP2B	NA	turquoise
TM9SF3	NA	turquoise
USP33	NA	turquoise
CAPN6	NA	turquoise
UBE2A	NA	turquoise
ITCH	NA	turquoise
SENP1	NA	turquoise
STX7	NA	turquoise
RAB21	NA	turquoise
PSEN1	NA	turquoise
AP4E1	NA	turquoise
OSTM1	NA	turquoise
SMARCD3	NA	turquoise
BZW1	NA	turquoise
C5orf22	NA	turquoise
FAM135A	NA	turquoise
COBLL1	NA	turquoise
GSK3B	NA	turquoise
RNF13	NA	turquoise
DIS3	NA	turquoise
CHMP2B	NA	turquoise
CD59	NA	turquoise
MYNN	NA	turquoise
SNX10	NA	turquoise
TMED2	NA	turquoise
EBF4	NA	turquoise
ARHGAP4	NA	turquoise
SPTLC1	NA	turquoise
PLEKHG2	NA	turquoise
RBM27	NA	turquoise
NRCAM	NA	turquoise
NLRP1	NA	turquoise
CD200	NA	turquoise
SNAP23	NA	turquoise
ARCN1	NA	turquoise
WAC	NA	turquoise
SRPK1	NA	turquoise
CDC5L	NA	turquoise
SIRT1	NA	turquoise
MAST3	NA	turquoise
ZDHHC8	NA	turquoise
BCL2L13	NA	turquoise
XBP1	NA	turquoise
LMF2	NA	turquoise
HMGXB4	NA	turquoise
SGSM3	NA	turquoise
EP300	NA	turquoise
HDAC10	NA	turquoise
SOS2	NA	turquoise
NIN	NA	turquoise
ATP6V1D	NA	turquoise
EIF5	NA	turquoise
SEC23A	NA	turquoise
SLMO2	NA	turquoise
DIDO1	NA	turquoise
CCM2L	NA	turquoise
VAPA	NA	turquoise
LPIN2	NA	turquoise
RBBP8	NA	turquoise
NXT2	NA	turquoise
AMMECR1	NA	turquoise
FMR1	NA	turquoise
SCML2	NA	turquoise
MAGT1	NA	turquoise
HTATSF1	NA	turquoise
NDFIP2	NA	turquoise
FNDC3A	NA	turquoise
DNAJC3	NA	turquoise
NME3	NA	turquoise
CPPED1	NA	turquoise
TMEM87A	NA	turquoise
IMPAD1	NA	turquoise
STK3	NA	turquoise
RAB2A	NA	turquoise
MAP4K1	NA	turquoise
TRMT1	NA	turquoise
DMPK	NA	turquoise
CCDC61	NA	turquoise
CDC37	NA	turquoise
MEIS3	NA	turquoise
ARRDC2	NA	turquoise
CRTC1	NA	turquoise
TFPI2	NA	turquoise
HBP1	NA	turquoise
CBLL1	NA	turquoise
MTPN	NA	turquoise
TAX1BP1	NA	turquoise
WASL	NA	turquoise
TMEM106B	NA	turquoise
AHR	NA	turquoise
TMEM248	NA	turquoise
EIF4H	NA	turquoise
SPIN1	NA	turquoise
SUSD1	NA	turquoise
FUBP3	NA	turquoise
PIP5K1B	NA	turquoise
NPDC1	NA	turquoise
ERLIN1	NA	turquoise
EIF3A	NA	turquoise
PALD1	NA	turquoise
LZTS2	NA	turquoise
ACBD5	NA	turquoise
SMC3	NA	turquoise
CUL2	NA	turquoise
KPNB1	NA	turquoise
GOSR2	NA	turquoise
CPD	NA	turquoise
CCDC47	NA	turquoise
KAT2A	NA	turquoise
PTGES3L-AARSD1	NA	turquoise
DUSP3	NA	turquoise
SLAIN2	NA	turquoise
CLCN3	NA	turquoise
MFSD10	NA	turquoise
KLHL5	NA	turquoise
HTATIP2	NA	turquoise
OSBP	NA	turquoise
TRIM3	NA	turquoise
CEP164	NA	turquoise
EIF4G2	NA	turquoise
PDHX	NA	turquoise
C11orf58	NA	turquoise
EXPH5	NA	turquoise
SLC38A1	NA	turquoise
CAND1	NA	turquoise
RAB5B	NA	turquoise
NOP2	NA	turquoise
UHRF1BP1L	NA	turquoise
GOLT1B	NA	turquoise
SERINC1	NA	turquoise
HINT3	NA	turquoise
ICK	NA	turquoise
CAP2	NA	turquoise
HBS1L	NA	turquoise
GPR126	NA	turquoise
TMEM30A	NA	turquoise
MAN2A1	NA	turquoise
FAF2	NA	turquoise
CLINT1	NA	turquoise
GOLPH3	NA	turquoise
FAM172A	NA	turquoise
LNPEP	NA	turquoise
SKP1	NA	turquoise
PPP2CA	NA	turquoise
CPEB4	NA	turquoise
DBN1	NA	turquoise
UBE3A	NA	turquoise
PDCD10	NA	turquoise
TFG	NA	turquoise
ACVR2B	NA	turquoise
NEK4	NA	turquoise
NCL	NA	turquoise
ACTR1B	NA	turquoise
SLC35F5	NA	turquoise
ACVR1	NA	turquoise
CLIP4	NA	turquoise
UNC50	NA	turquoise
COQ10B	NA	turquoise
CHMP3	NA	turquoise
IL1R1	NA	turquoise
STK25	NA	turquoise
TMEM59	NA	turquoise
DOCK7	NA	turquoise
EXOC8	NA	turquoise
ETV3	NA	turquoise
KDM5B	NA	turquoise
CD46	NA	turquoise
SLC19A2	NA	turquoise
TMED5	NA	turquoise
PPP1R8	NA	turquoise
MESDC2	NA	turquoise
RCN2	NA	turquoise
STAG1	NA	turquoise
TJP2	NA	turquoise
ITGB1BP1	NA	turquoise
RAD23B	NA	turquoise
RAB14	NA	turquoise
RBM18	NA	turquoise
KDSR	NA	turquoise
VPS4B	NA	turquoise
FAM98A	NA	turquoise
YIPF4	NA	turquoise
AFTPH	NA	turquoise
MOB3B	NA	turquoise
ARAP3	NA	turquoise
UFM1	NA	turquoise
ARL1	NA	turquoise
RNF170	NA	turquoise
COIL	NA	turquoise
NAA50	NA	turquoise
FYTTD1	NA	turquoise
SMU1	NA	turquoise
RNF11	NA	turquoise
CCDC91	NA	turquoise
ATF1	NA	turquoise
ATPAF1	NA	turquoise
PLA2G12A	NA	turquoise
NCOA3	NA	turquoise
PLCG1	NA	turquoise
CSE1L	NA	turquoise
RAB22A	NA	turquoise
MAGEA10	NA	turquoise
USP9X	NA	turquoise
SERPINB6	NA	turquoise
PRICKLE4	NA	turquoise
SSR1	NA	turquoise
NUP153	NA	turquoise
TM9SF2	NA	turquoise
HS3ST3B1	NA	turquoise
NT5C	NA	turquoise
HNRNPR	NA	turquoise
ASL	NA	turquoise
SBDS	NA	turquoise
SGPP1	NA	turquoise
CANX	NA	turquoise
IDUA	NA	turquoise
FBXL12	NA	turquoise
RNF6	NA	turquoise
STEAP4	NA	turquoise
DNAJB9	NA	turquoise
CALU	NA	turquoise
ADCY4	NA	turquoise
EAPP	NA	turquoise
REEP5	NA	turquoise
ITFG1	NA	turquoise
SHC2	NA	turquoise
DOCK6	NA	turquoise
XPO7	NA	turquoise
SLC27A1	NA	turquoise
USHBP1	NA	turquoise
SNX9	NA	turquoise
TRPM4	NA	turquoise
ZBTB46	NA	turquoise
POMT1	NA	turquoise
C16orf13	NA	turquoise
MAP3K10	NA	turquoise
CLIP1	NA	turquoise
HABP4	NA	turquoise
LATS1	NA	turquoise
CAPN7	NA	turquoise
NDFIP1	NA	turquoise
TRAF7	NA	turquoise
NPHP4	NA	turquoise
EFR3A	NA	turquoise
PRMT7	NA	turquoise
PCED1A	NA	turquoise
MUTYH	NA	turquoise
SERINC3	NA	turquoise
COG6	NA	turquoise
SPG20	NA	turquoise
PDZD2	NA	turquoise
AGAP3	NA	turquoise
RRAS2	NA	turquoise
EIF2S1	NA	turquoise
ARL8B	NA	turquoise
EDEM1	NA	turquoise
VAV3	NA	turquoise
PTGFRN	NA	turquoise
CEPT1	NA	turquoise
CDC73	NA	turquoise
STK26	NA	turquoise
PUM1	NA	turquoise
STT3A	NA	turquoise
TMED7	NA	turquoise
UBQLN1	NA	turquoise
ANXA1	NA	turquoise
TMEM2	NA	turquoise
PNPLA8	NA	turquoise
SYNCRIP	NA	turquoise
NT5E	NA	turquoise
CAPRIN1	NA	turquoise
DNAJC14	NA	turquoise
TSPAN31	NA	turquoise
MAP7	NA	turquoise
CD164	NA	turquoise
FHOD1	NA	turquoise
DHX9	NA	turquoise
C2orf49	NA	turquoise
EPC2	NA	turquoise
IGF2BP3	NA	turquoise
KDELR2	NA	turquoise
BZW2	NA	turquoise
HUS1	NA	turquoise
CCM2	NA	turquoise
ABHD17C	NA	turquoise
KAT7	NA	turquoise
TANK	NA	turquoise
UGGT1	NA	turquoise
YME1L1	NA	turquoise
SLC31A2	NA	turquoise
STX17	NA	turquoise
ATP6V1G1	NA	turquoise
DERL1	NA	turquoise
RNF38	NA	turquoise
RDX	NA	turquoise
RTF1	NA	turquoise
ADAM10	NA	turquoise
CYP19A1	NA	turquoise
RAB1A	NA	turquoise
ATAD1	NA	turquoise
ENTPD1	NA	turquoise
SSFA2	NA	turquoise
SLC35A5	NA	turquoise
DIRC2	NA	turquoise
USP8	NA	turquoise
SPPL2A	NA	turquoise
G3BP2	NA	turquoise
SCARB2	NA	turquoise
CNOT6L	NA	turquoise
USO1	NA	turquoise
SEC24B	NA	turquoise
SLC39A8	NA	turquoise
FBN2	NA	turquoise
ETV6	NA	turquoise
AEBP2	NA	turquoise
TDG	NA	turquoise
NUPL1	NA	turquoise
LNX2	NA	turquoise
SUOX	NA	turquoise
MAP3K12	NA	turquoise
LMBR1L	NA	turquoise
TMBIM6	NA	turquoise
SBNO1	NA	turquoise
SCAPER	NA	turquoise
ULK3	NA	turquoise
DEF8	NA	turquoise
COPS3	NA	turquoise
SGSM2	NA	turquoise
SS18	NA	turquoise
SLC39A6	NA	turquoise
PELP1	NA	turquoise
NPC1	NA	turquoise
SAT2	NA	turquoise
RAB40B	NA	turquoise
CEP131	NA	turquoise
DYM	NA	turquoise
SMAD4	NA	turquoise
ADAMTS10	NA	turquoise
RCN3	NA	turquoise
MAP3K6	NA	turquoise
POGK	NA	turquoise
ARNT	NA	turquoise
EXOC6B	NA	turquoise
TEX261	NA	turquoise
UBXN4	NA	turquoise
RAB5A	NA	turquoise
ACKR2	NA	turquoise
ARL6IP5	NA	turquoise
TMF1	NA	turquoise
OSBPL11	NA	turquoise
TMEM44	NA	turquoise
VPRBP	NA	turquoise
DGKQ	NA	turquoise
ATP10D	NA	turquoise
KLHL8	NA	turquoise
IQGAP2	NA	turquoise
RASA1	NA	turquoise
SLC30A5	NA	turquoise
FBXL17	NA	turquoise
YIPF5	NA	turquoise
C6orf211	NA	turquoise
SH3KBP1	NA	turquoise
GPC3	NA	turquoise
SLC25A37	NA	turquoise
C9orf3	NA	turquoise
GPR107	NA	turquoise
INPP5E	NA	turquoise
RSU1	NA	turquoise
NRBF2	NA	turquoise
PTPRJ	NA	turquoise
DLAT	NA	turquoise
CRIM1	NA	turquoise
SEC24D	NA	turquoise
PRSS53	NA	turquoise
UEVLD	NA	turquoise
ANK3	NA	turquoise
TWF1	NA	turquoise
ME3	NA	turquoise
NEK7	NA	turquoise
ADAM17	NA	turquoise
FAM168B	NA	turquoise
C18orf25	NA	turquoise
TGOLN2	NA	turquoise
CAST	NA	turquoise
SMARCA5	NA	turquoise
TMEM87B	NA	turquoise
RBMS1	NA	turquoise
ZDHHC7	NA	turquoise
KCTD15	NA	turquoise
GDPD1	NA	turquoise
PPP2R5E	NA	turquoise
C21orf91	NA	turquoise
AZIN1	NA	turquoise
ATP6V1C1	NA	turquoise
HSPA13	NA	turquoise
KCTD18	NA	turquoise
RNF20	NA	turquoise
VPS37A	NA	turquoise
ADK	NA	turquoise
HIAT1	NA	turquoise
RNF111	NA	turquoise
DSCR3	NA	turquoise
TAB3	NA	turquoise
TMED4	NA	turquoise
PPP1R15B	NA	turquoise
AMFR	NA	turquoise
LRRC36	NA	turquoise
CCDC117	NA	turquoise
NPR2	NA	turquoise
GNE	NA	turquoise
BSDC1	NA	turquoise
GPSM1	NA	turquoise
PTH1R	NA	turquoise
VPS28	NA	turquoise
MUM1	NA	turquoise
PPAP2B	NA	turquoise
C1orf86	NA	turquoise
USP1	NA	turquoise
ZNF281	NA	turquoise
PEX19	NA	turquoise
BPNT1	NA	turquoise
BROX	NA	turquoise
ARL5A	NA	turquoise
ALPP	NA	turquoise
NIPAL1	NA	turquoise
ATP1A1	NA	turquoise
RYBP	NA	turquoise
PPP4R2	NA	turquoise
CDS1	NA	turquoise
ATXN7	NA	turquoise
RBM47	NA	turquoise
SPDYA	NA	turquoise
IFT122	NA	turquoise
SGMS2	NA	turquoise
WDR82	NA	turquoise
FBXO8	NA	turquoise
TMEM161B	NA	turquoise
PRRC1	NA	turquoise
RHOBTB3	NA	turquoise
SERINC5	NA	turquoise
TLR3	NA	turquoise
SFXN1	NA	turquoise
SLU7	NA	turquoise
MICALL2	NA	turquoise
YWHAZ	NA	turquoise
KIAA0196	NA	turquoise
HNRNPK	NA	turquoise
SVEP1	NA	turquoise
DYNLT3	NA	turquoise
GAPVD1	NA	turquoise
GTF2A1	NA	turquoise
PHYHIPL	NA	turquoise
REEP3	NA	turquoise
GHITM	NA	turquoise
NSMF	NA	turquoise
CPSF2	NA	turquoise
API5	NA	turquoise
COPS2	NA	turquoise
FRS2	NA	turquoise
ARIH1	NA	turquoise
TPP1	NA	turquoise
CDYL2	NA	turquoise
HSP90B1	NA	turquoise
KIF7	NA	turquoise
CLPX	NA	turquoise
TMEM194A	NA	turquoise
PATL1	NA	turquoise
PDIA3	NA	turquoise
SMG8	NA	turquoise
